en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"celestial","Gökle ilgili, göksel","adj","🌌",1,"Heavenly; astronomical","Modadil 1080; Çıkmış sorular",1,"2023-2",1,"The duty of an astronomer is to record celestial motions through careful observation","Bir gökbilimcinin görevi dikkatli gözlem ile gökle ilgili hareketleri kaydetmektir.",1
"enable","Imkan vermek, olanak sağlamak","v","🔓",1,"Allow; permit","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2018-1; 2021-2; 2024-1; 2024-2",1,"Satellites enable us to transmit news all around the world.","Uydular, tüm dünyadaki haberleri iletmemizi sağlar.",1
"enhance","Artırmak, geliştirmek","v","📈",1,"Improve; augment; increase; boost","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-2; 2023-2",1,"Certain genes can dramatically enhance an organism's health and extend its life span","Bazı genler, bir organizmanın sağlığını ciddi biçimde artırabilir ve ömrünü uzatabilir",1
"eventually","Nihayetinde, sonunda","adv","🏁",1,"Finally; ultimately; sooner or later","Modadil 1080; Çıkmış sorular",7,"2018-1; 2021-1; 2021-2; 2022-1; 2023-2; 2024-2; 2025-1",1,"Human evolution will eventually allow humans to live in the extreme conditions of space.","İnsanın evrimi nihayetinde insanın uzayın zor koşullarında yaşamasına izin verecektir.",1
"extinction","Nesli tükenme, yok olma","n","🦖",1,"Disappearance; death","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",5,"2018-1; 2022-1; 2022-2; 2023-1; 2024-1",1,"The emergence of the Himalayas caused the extinction of many ocean species.","Himalayaların ortaya çıkışı birçok okyanus türünün yok olmasına neden oldu.",1
"flexibility","Esneklik, bükülebilirlik","n","🤸",0,"Elasticity","Modadil 1080; Koç havuzu",0,"",1,"Current industrial robots meet speed and flexibility requirements.","Mevcut endüstriyel robotlar hız ve esneklik gereksinimlerini karşılamaktadır.",1
"formerly","Eskiden, önceden","adv","⏮️",0,"Previously; in the past","Modadil 1080; Zafer Hoca",0,"",1,"Formerly scientists thought that one large earthquake could not possibly affect the timing or location of the next.","Eskiden bilim insanları, büyük bir büyük depremin bir sonraki depremin zamanlamasını veya yerini etkilemeyeceğini düşünüyorlardı",1
"growth","Büyüme, gelişme","n","🌱",0,"Development; evolution; progress","Modadil 1080; Koç havuzu",0,"",1,"The growth of planets in the solar system was closely connected with the large-scale deformation of asteroids.","Güneş sistemindeki gezegenlerin büyümesi, asteroitlerin büyük ölçekli deformasyonuyla yakından ilişkiliydi.",1
"influence","Etkilemek, tesir etmek","v","🧲",1,"Affect; impact","Modadil 1080; Çıkmış sorular; Koç havuzu",7,"2018-1; 2021-1; 2022-2; 2023-2; 2024-1; 2025-1; 2025-2",1,"Dams influence aquatic ecology and biodiversity.","Barajlar suda yaşayan ekolojiyi ve biyoçeşitliliği etkiler.",1
"launch","Fırlatmak (roket, uydu)","v","🚀",1,"Send off; throw","Modadil 1080; Çıkmış sorular; Zafer Hoca",2,"2022-1; 2025-2",1,"Last year, NASA launched the Swift satellite into the space.","Geçen yıl, NASA uzaya Swift uydusunu fırlattı.",1
"magnify","Büyültmek, büyük göstermek","v","🔍",1,"Enlarge","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2021-2",1,"Their movements are tracked by video and magnified on a screen.","Onların hareketleri video ile izlenir ve ekranda büyültülür.",1
"matter","Madde, cisim","n","🧱",0,"Substance; material","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2025-2",1,"The research may influence how we understand the relations among space, time and matter.","Araştırma alan, zaman ve madde arasındaki ilişkileri nasıl anladığımızı etkileyebilir.",1
"necessary","Gerekli, zaruri, elzem","adj","❗",1,"Essential; needed; required; compulsory","Modadil 1080; Çıkmış sorular",1,"2021-1",1,"European countries should take the necessary precautions in order to reduce the cost of electricity.","Avrupa ülkeleri, elektrik maliyetini azaltmak için gerekli önlemleri almalıdır.",1
"occur","Meydana gelmek, olmak","v","💥",1,"Take place; happen","Modadil 1080; Çıkmış sorular; Koç havuzu",7,"2018-1; 2021-1; 2021-2; 2022-2; 2023-2; 2024-1; 2024-2",1,"Half a million earthquakes occur worldwide each year.","Her yıl dünya çapında yarım milyon deprem meydana gelmektedir.",1
"penetrate","Nüfuz etmek, içine girmek","v","🎯",0,"Enter; pass through","Modadil 1080; Zafer Hoca; Koç havuzu",0,"",1,"X-rays are a form of electromagnetic radiation that penetrates human flesh.","X-ışınları, insan etine nüfuz eden bir elektromanyetik radyasyon biçimidir.",1
"supply","Sağlamak, temin etmek, desteklemek","v","📦",1,"Provide; deliver; contribute","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2018-1",1,"Coal-fired power stations supply half the electricity in many industrial countries.","Kömürle çalışan elektrik santralleri birçok sanayi ülkesinde elektriğin yarısını sağlamaktadır.",1
"useful","Faydalı, yararlı","adj","🛠️",0,"Beneficial; helpful; practical","Modadil 1080",0,"",1,"Underwater turbines are particularly useful because they are unaffected by storms.","Sualtı türbinleri fırtınalardan etkilenmediğinden bilhassa yararlıdır.",1
"vague","Belirsiz, net değil, muğlak","adj","🌫️",0,"Unclear; indefinite; ambiguous","Modadil 1080; Zafer Hoca",0,"",1,"The future of China’s space program is vague because of high costs","Çin'in uzay programının geleceği yüksek maliyetlerden ötürü belirsiz.",1
"vanish","Yok olmak, kaybolmak","v","💨",1,"Die out; disappear","Modadil 1080; Çıkmış sorular",2,"2022-1; 2022-2",1,"Due to logging and cultivation, forests are vanishing all over the world.","Ağaç kesme ve ekim nedeniyle ormanlar tüm dünyada yok oluyor.",1
"wilderness","Yaban hayat, vahşi yaşam","n","🌲",0,"Uninhabited area left in its natural condition","Modadil 1080",0,"",1,"Noise pollution doubled sound levels in 12% of all wilderness areas.","Gürültü kirliliği, tüm vahşi yaşam alanlarının %12'sinde ses seviyesini ikiye katladı.",1
"accessible","Ulaşılabilir, erişilebilir","adj","♿",1,"Available; reachable; handy","Modadil 1080; Çıkmış sorular",2,"2024-2; 2025-1",2,"Very few points of space are accessible for human beings.","Uzayın çok az noktası insanoğlu için ulaşılabilir durumdadır.",1
"agriculture","Tarım, ziraat","n","🚜",1,"Farming; cultivation","Modadil 1080; Çıkmış sorular",3,"2024-1; 2025-1; 2025-2",2,"Volcanic eruptions are a significant threat to people and agriculture.","Volkanik patlamalar insanlar ve tarım için önemli bir tehdittir.",1
"annual","Yıllık","adj","📅",1,"Yearly","Modadil 1080; Çıkmış sorular",3,"2021-2; 2022-2; 2023-2",2,"Annual population growth in the world has the effect of raising the amount of carbon emissions.","Dünyadaki yıllık nüfus artışı karbon emisyonu miktarını artırma etkisine sahiptir.",1
"approximately","Takriben, yaklaşık","adv","≈",1,"Around; about; roughly","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-1",2,"Approximately 200 thousand people were evacuated because of Chernobyl disaster.","Çernobil felâketi sebebiyle yaklaşık 200 bin kişi tahliye edildi.",1
"discard","Atmak, gözden çıkarmak, kurtulmak","v","🗑️",0,"Throw away; dispose of; get rid of","Modadil 1080",0,"",2,"The failed scientists and scientific ideas are discarded.","Başarısız bilim insanları ve bilimsel fikirler gözden çıkarılır.",1
"disease","Hastalık","n","🦠",1,"Sickness; ailment; illness","Modadil 1080; Çıkmış sorular; Koç havuzu",5,"2021-1; 2022-1; 2022-2; 2023-1; 2025-2",2,"Scientists have been able to identify which parts of the brain are most vulnerable to disease.","Bilim adamları beynin hangi kısımlarının hastalığa karşı en savunmasız olduğunu tanımlayabildiler.",1
"gain","Kazanmak, elde etmek","v","💰",1,"Get; achieve; acquire; obtain","Modadil 1080; Çıkmış sorular",3,"2021-1; 2022-2; 2023-1",2,"Scientists have gained a new understanding of how everyday events are formed in the brain.","Bilim insanları, günlük olayların beyinde nasıl şekillendiği konusunda yeni bir anlayış kazanmışlardır.",1
"initially","Başlangıçta, ilk başlarda","adv","🥇",1,"At first; originally; to begin with","Modadil 1080; Çıkmış sorular",7,"2021-1; 2021-2; 2022-1; 2022-2; 2023-1; 2023-2; 2025-1",2,"The moon’s craters were initially formed by asteroids crashing into it.","Ay’ın kraterleri ilk başta ona çarpan astiroitler tarafından oluşturuldu.",1
"knowledge","Bilgi, ilim","n","📚",0,"Information; wisdom; education","Modadil 1080; Çıkmış sorular",1,"2022-1",2,"Chemists in the past had no knowledge of atomic numbers and atomic weights.","Geçmişteki kimyagerler atom numarası ve atom ağırlıkları hakkında hiçbir bilgiye sahip değildi",1
"precaution","Önlem, tedbir","n","⚠️",1,"Measure; protection","Modadil 1080; Çıkmış sorular; Zafer Hoca",2,"2022-1; 2024-1",2,"The US has started taking technological precautions along its Mexican borders.","ABD, Meksika sınırları boyunca teknolojik önlemler almaya başlamıştır.",1
"primary","Başlıca, esas","adj","1️⃣",1,"Main; chief; most important","Modadil 1080; Çıkmış sorular",1,"2022-1",2,"The Red Crecent's primary concern is to preserve and protect human life.","Kızılay'ın başlıca ilgi alanı, insan hayatını muhafaza etmek ve korumaktır.",1
"principle","Prensip, ilke, kaide","n","📏",0,"Rule; theory; notion","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2025-2",2,"Many ideas about the mind are derived from scholastic principles.","Zihin ile ilgili birçok fikir skolastik ilkelerden türetilir.",1
"prove","Kanıtlamak, ispatlamak","v","✅",1,"Demonstrate; verify; ascertain","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-2; 2025-2",2,"Experts have proved that health depends on psychological condition.","Uzmanlar sağlığın psikolojik duruma bağlı olduğunu kanıtladılar",1
"pursue","Takip etmek, izlemek, peşinden koşmak","v","🏃",1,"Follow; go after; track","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2018-1",2,"Companies are pursuing hundreds of experimental treatments involving gene therapy products.","Şirketler, gen terapi ürünleri içeren yüzlerce deneysel tedavinin peşinden koşuyorlar.",1
"reasonable","Makul, akıllıca","adj","👍",0,"Sensible; rational","Modadil 1080; Zafer Hoca",0,"",2,"He thinks that yoga may be a reasonable alternative to physical therapy.","O, yoganın fizik tedaviye makul bir alternatif olabileceğini düşünüyor.",1
"recommend","Tavsiye etmek, önermek","v","👌",1,"Suggest; advise","Modadil 1080; Çıkmış sorular",1,"2018-1",2,"Doctors recommend vaccines during childhood because they're an incredibly effective way to prevent dangerous diseases.","Tehlikeli hastalıkları önlemenin inanılmaz derecede etkili bir yolu olması sebebiyle, doktorlar çocukluk döneminde aşıları önerirler.",1
"reduce","Düşürmek, azaltmak","v","📉",1,"Lower; lessen; diminish","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",7,"2021-1; 2022-1; 2023-1; 2023-2; 2024-1; 2024-2; 2025-2",2,"Deforestation may have reduced the number of plants contributing to atmospheric methane.","Ormansızlaşma atmosferik metana katkıda bulunan bitki sayısını azaltmış olabilir.",1
"repair","Tamir etmek, onarmak","v","🔧",0,"Fix; overhaul","Modadil 1080",0,"",2,"NASA is going to send a team to repair the Hubble space telescope in the future.","NASA, gelecekte Hubble uzay teleskopunu tamir etmek için bir ekip gönderecek.",1
"state","Durum, hal","n","📊",1,"Condition; situation; shape","Modadil 1080; Çıkmış sorular",2,"2022-1; 2025-1",2,"Electrical conductivity in the liquid state is generally due to the presence of ions.","Sıvı haldeki elektriksel iletkenlik genellikle iyonların varlığına bağlıdır.",1
"vary","Farklılık göstermek, değişmek","v","🔀",1,"Change; alter","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-2; 2025-1",2,"Currents in the dams vary greatly from season to season.","Barajlardaki akıntılar mevsimden mevsime büyük değişiklik gösterir.",1
