ID,wordName,turkishDefiniton,grupNo,part,subPart
1,account for,"oluşturmak, tekabül etmek (sayısal veri) / açıklamak",1055,PHRASAL VERBS,
2,back up,desteklemek,1055,PHRASAL VERBS,
3,"be based on,&be based upon","...-e dayalı olmak, ...-i temel almak",1055,PHRASAL VERBS,
4,be made up of,"...-den oluşmak, içermek, kapsamak",1055,PHRASAL VERBS,
5,break down,"bozulmak, çalışmamak, kırılmak",1055,PHRASAL VERBS,
6,break into,zorla girmek,1055,PHRASAL VERBS,
7,break out,"patlak vermek, çıkmak (savaş, yangın)",1055,PHRASAL VERBS,
8,break through,"delip geçmek /t üstesinden gelmek (engel, bariyer, problem)",1055,PHRASAL VERBS,
9,"bring about,&bring on","sebep olmak, neden olmak",1055,PHRASAL VERBS,
10,bring down,"düşürmek, azaltmak, aşağı çekmek",1055,PHRASAL VERBS,
11,bring up,"gündeme getirmek (konu, mesele…) / büyütmek, yetiştirmek",1055,PHRASAL VERBS,
12,bring out,piyasaya sürmek,1055,PHRASAL VERBS,
13,blow up,"çıkmak (fırtına) / şişirmek, patla(t)tmak",1055,PHRASAL VERBS,
14,call for,çağrıda bulunmak / gerektirmek,1055,PHRASAL VERBS,
15,call off,"iptal etmek, vazgeçmek",1055,PHRASAL VERBS,
16,carry on,"devam etmek, sürdürmek",1055,PHRASAL VERBS,
17,carry out,"yürütmek, yerine getirmek, icra etmek (araştırma, deney)",1055,PHRASAL VERBS,
18,catch up (with),"arayı kapatmak, yakalamak",1055,PHRASAL VERBS,
19,come about,"meydana gelmek, ortaya çıkmak",1055,PHRASAL VERBS,
20,come across,"karşılaşmak, rastlaşmak",1055,PHRASAL VERBS,
21,come up with,"ortaya atmak, sunmak, bulmak (icat, çözüm, fikir)",1055,PHRASAL VERBS,
22,"count on,&count upon","güvenmek, bel bağlamak",1055,PHRASAL VERBS,
23,cut down on,"kısmak, azaltmak",1055,PHRASAL VERBS,
24,"depend on,&depend upon","...-e bağlı olmak, dayanmak, güvenmek",1055,PHRASAL VERBS,
25,die out,"nesli tükenmek, yok olmak",1055,PHRASAL VERBS,
26,do away with,"yürürlükten kaldırmak, ortadan kaldırmak",1055,PHRASAL VERBS,
27,draw on,"faydalanmak, yararlanmak, kullanmak",1055,PHRASAL VERBS,
28,"drop by,&drop in",uğramak,1055,PHRASAL VERBS,
29,embark on,"bir işe girişmek, başlamak",1055,PHRASAL VERBS,
30,end up with,"nihayetinde … olmak, kendini bir yerde / durumda bulmak",1055,PHRASAL VERBS,
31,fall behind,"geride, arkada kalmak",1055,PHRASAL VERBS,
32,figure out,"çözmek, anlamak",1055,PHRASAL VERBS,
33,find out,"ortaya çıkarmak, keşfetmek, bulmak",1055,PHRASAL VERBS,
