ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
1,CELESTIAL (adj),CELESTIAL (adj),"Gökle ilgili, göksel","Heavenly, astronomical",The duty of an astronomer is to record celestial motions through careful observation,Bir gökbilimcinin görevi dikkatli gözlem ile gökle ilgili hareketleri kaydetmektir.,1,-,-,0
2,ENABLE (v),ENABLE (v),"Imkan vermek, olanak sağlamak","Allow, permit",Satellites enable us to transmit news all around the world.,"Uydular, tüm dünyadaki haberleri iletmemizi sağlar.",1,-,-,0
3,ENHANCE (v),ENHANCE (v),"Artırmak, geliştirmek","Improve, augment, increase, boost, develop",Certain genes can dramatically enhance an organism's health and extend its life span,"Bazı genler, bir organizmanın sağlığını ciddi biçimde artırabilir ve ömrünü uzatabilir",1,-,-,0
4,EVENTUALLY (adv),EVENTUALLY (adv),"Nihayetinde, sonunda","Finally, ultimately, sooner or later",Human evolution will eventually allow humans to live in the extreme conditions of space.,İnsanın evrimi nihayetinde insanın uzayın zor koşullarında yaşamasına izin verecektir.,1,-,-,0
5,EXTINCTION (n),EXTINCTION (n),"Nesli tükenme, yok olma","Disappearance, death",The emergence of the Himalayas caused the extinction of many ocean species.,Himalayaların ortaya çıkışı birçok okyanus türünün yok olmasına neden oldu.,1,-,-,0
6,FLEXIBILITY (n),FLEXIBILITY (n),"Esneklik, bükülebilirlik", Elasticity,Current industrial robots meet speed and flexibility requirements.,Mevcut endüstriyel robotlar hız ve esneklik gereksinimlerini karşılamaktadır.,1,-,-,0
7,FORMERLY (adv),FORMERLY (adv),"Eskiden, önceden","Previously, in the past",Formerly scientists thought that one large earthquake could not possibly affect the timing or location of the next.,"Eskiden bilim insanları, büyük bir büyük depremin bir sonraki depremin zamanlamasını veya yerini etkilemeyeceğini düşünüyorlardı",1,-,-,0
8,GROWTH (n),GROWTH (n),"Büyüme, gelişme","Development, evolution, progress",The growth of planets in the solar system was closely connected with the large-scale deformation of asteroids.,"Güneş sistemindeki gezegenlerin büyümesi, asteroitlerin büyük ölçekli deformasyonuyla yakından ilişkiliydi.",1,-,-,0
9,INFLUENCE (n/v),INFLUENCE (n/v),"Etkilemek, tesir etmek","Affect, impact",Dams influence aquatic ecology and biodiversity.,Barajlar suda yaşayan ekolojiyi ve biyoçeşitliliği etkiler.,1,-,-,0
10,LAUNCH (v),LAUNCH (v),"Fırlatmak (roket, uydu)","Send off, throw","Last year, NASA launched the Swift satellite into the space.","Geçen yıl, NASA uzaya Swift uydusunu fırlattı.",1,-,-,0
11,MAGNIFY (v),MAGNIFY (v),"Büyültmek, büyük göstermek",Enlarge,Their movements are tracked by video and magnified on a screen.,Onların hareketleri video ile izlenir ve ekranda büyültülür.,1,-,-,0
12,MATTER (n),MATTER (n),"Madde, cisim","Substance, material","The research may influence how we understand the relations among space, time and matter.","Araştırma alan, zaman ve madde arasındaki ilişkileri nasıl anladığımızı etkileyebilir.",1,-,-,0
13,NECESSARY (adj),NECESSARY (adj),"Gerekli, zaruri, elzem","Essential, needed, required, compulsory, obligatory",European countries should take the necessary precautions in order to reduce the cost of electricity.,"Avrupa ülkeleri, elektrik maliyetini azaltmak için gerekli önlemleri almalıdır.",1,-,-,0
14,OCCUR (v),OCCUR (v),"Meydana gelmek, olmak","Take place, happen",Half a million earthquakes occur worldwide each year.,Her yıl dünya çapında yarım milyon deprem meydana gelmektedir.,1,-,-,0
15,PENETRATE (v),PENETRATE (v),"Nüfuz etmek, içine girmek","Enter, pass through",X-rays are a form of electromagnetic radiation that penetrates human flesh.,"X-ışınları, insan etine nüfuz eden bir elektromanyetik radyasyon biçimidir.",1,-,-,0
16,SUPPLY (n/v),SUPPLY (n/v),"Sağlamak, temin etmek, desteklemek","Provide, deliver, contribute",Coal-fired power stations supply half the electricity in many industrial countries.,Kömürle çalışan elektrik santralleri birçok sanayi ülkesinde elektriğin yarısını sağlamaktadır.,1,-,-,0
